page_id,rfc_id,discussion_title,discussion_result_comment_id,discussion_input_comment,project,closing_date
56218880,0,Request for Comment for the defintion of 'Skyscraper',0,1,wikipedia,2021-01-05T06:57:00Z
66698580,1,Request for Comment for the defintion of 'Skyscraper',36,37,wikipedia,2021-01-05T06:57:00Z
2143,2,Request for Comment for the defintion of 'Skyscraper',72,73,wikipedia,2021-01-05T06:57:00Z
3977,3,Request for Comment for the defintion of 'Skyscraper',108,109,wikipedia,2021-01-05T06:57:00Z
4828,4,Request for Comment for the defintion of 'Skyscraper',144,145,wikipedia,2021-01-05T06:57:00Z
12687,5,Request for Comment for the defintion of 'Skyscraper',180,181,wikipedia,2021-01-05T06:57:00Z
16423,6,Request for Comment for the defintion of 'Skyscraper',216,217,wikipedia,2021-01-05T06:57:00Z
22470,7,Request for Comment for the defintion of 'Skyscraper',252,253,wikipedia,2021-01-05T06:57:00Z
29488,8,Request for Comment for the defintion of 'Skyscraper',288,289,wikipedia,2021-01-05T06:57:00Z
31465,9,Request for Comment for the defintion of 'Skyscraper',324,325,wikipedia,2021-01-05T06:57:00Z
45542,10,Request for Comment for the defintion of 'Skyscraper',360,361,wikipedia,2021-01-05T06:57:00Z
55629,11,Request for Comment for the defintion of 'Skyscraper',396,397,wikipedia,2021-01-05T06:57:00Z
60469,12,Request for Comment for the defintion of 'Skyscraper',432,433,wikipedia,2021-01-05T06:57:00Z
71414,13,Request for Comment for the defintion of 'Skyscraper',468,469,wikipedia,2021-01-05T06:57:00Z
73652,14,Request for Comment for the defintion of 'Skyscraper',504,505,wikipedia,2021-01-05T06:57:00Z
79992,15,Request for Comment for the defintion of 'Skyscraper',540,541,wikipedia,2021-01-05T06:57:00Z
80153,16,Request for Comment for the defintion of 'Skyscraper',576,577,wikipedia,2021-01-05T06:57:00Z
80804,17,Request for Comment for the defintion of 'Skyscraper',612,613,wikipedia,2021-01-05T06:57:00Z
