text,user,id,project,page_title,page_url,disrespect,respect,explanation,causal_reasoning,narrative,question,response,advocacy,public_interest,counterarguments,constructive_proposal
"support Strong support →18px αѵίɾαʍ7 ([ʆεt'ς tαʆƘ🇮🇳])← 09:12, 29 October 2022 (UTC)Support Support",HouseBlaster,102245.0,meta.wikimedia,Requests for comment/Make all new wikis global bot wikis,https://meta.wikimedia.org/wiki?curid=12008264.0,,,,,,,,,,,
"Support Support per nom. Cross-wiki and off-wiki disruption are one thing, but outing (especially the recidivism at their talk page during this discussion) proves that there is almost zero doubt that they are a net negative to the Wikimedia movement.",Miraclepine,99459.0,meta.wikimedia,Requests for comment/Global ban of James Salsman,https://meta.wikimedia.org/wiki?curid=11125189.0,,,,,,,,,,,
"Oppose Oppose I didn't like editing on Wikitravel, because the work I volunteered was being used by the corporation that ran it for profit, and they subsequently ran it into the ground, causing the split. I do not countenance Wikimedia going down that road.",Ikan Kekek,86147.0,meta.wikimedia,Requests for comment/Wikimedia Enterprise/ko,https://meta.wikimedia.org/wiki?curid=11717972.0,,,,,,,,,,,
"@to all stewards: it took 3 global sysops (wiki13, JurgenNL and myself) days to clean out all the mess he created with wrong languaged often unsourced and contentless stubs he placed on three small wikiversions (war, hif and ceb). We also discovered that on two versions a former local sysop and another colleague already had mass removed his ""trash"" two years ago. He simply had replaced all over again... This has to stop. Hope a steward can globally reblock since his promise was void.",MoiraMoira,83101.0,meta.wikimedia,Requests for comment/Global sysops on Fiji Hindi Wikipedia,https://meta.wikimedia.org/wiki?curid=4319561.0,,,,,,,,,,,
"# Requesting restore is equivalent to voting ""oppose remove"" on the other polls. This is effectively splitting the debate presenting it as if it was something different. Of course voting ""oppose"" on the other petition doesn't look as important, so let's redress it. I support closing this and keeping the debate on a single place. [[es:User:Drini|es:]]",Drini,88376.0,meta.wikimedia,Requests for comment/Restore Founder flag,https://meta.wikimedia.org/wiki?curid=272214.0,,,,,,,,,,,
"Probably not. My tentative analysis: the WMF hired an Executive Director who, no surprise, had very little wiki experience. She may be an excellent executive, but will need sound advice, and she wasn't getting it from the Staff, which has, as is common with Staff at nonprofits, its own agenda. It's going to take her some time to sort this, I expect. On her talk page here, she professed puzzlement at what was happening. In fact, anyone who understands how the community works would not be puzzled by what is coming down, so she simply does not yet understand, that's all. She thought it was her job to have the WMF promote the interests of the millions of readers. Maybe, that could be part of it, but not at the expense of the core mission, damaging the engine that truly runs the wikis, without which the WMF would need a lot more money.
:::The WMF exists to ""engage and empower"" the community, not the other way around. --",Abd,94479.0,meta.wikimedia,Requests for comment/Superprotect rights,https://meta.wikimedia.org/wiki?curid=5363998.0,,,,,,,,,,,
"*::::: Sure, but PlanespotterA320 is still telling lies on local community, accusing us as Nazi supporter and denying sockpuppetry. It's a hard discussion.[[uz:Vikipediya:Administratorlar forumi]]",Lemonaka,102264.0,meta.wikimedia,Requests for comment/Global ban for PlanespotterA320,https://meta.wikimedia.org/wiki?curid=12032443.0,,,,,,,,,,,
"*::::I already asked Quentin for an extension on the sul-tool to show new mail. Same probs. Question: The token causes the you have new mail message to pop up? I hoped that this would work, obviously it doesn't :(( Currently I rely on email notification and the python script readtalk.py. Both not really convenient for lazy people like me. --",Hedwig in Washington,80670.0,meta.wikimedia,Requests for comment/Stewards' question: How to make your Wikimedian life easier?,https://meta.wikimedia.org/wiki?curid=616178.0,,,,,,,,,,,
"Oppose Oppose - I already voted ""support"" for ""NonFreeWiki"", a proposed project to use non-free media content and other content not qualified for Commons. If ""NonFreeWiki"" becomes the actual project, the proposal to extend the scope of Commons would be unnecessary. Regardless of the outcome of the ""NonFreeWiki"" proposal, I'm against extending the scope of Commons for now as the Commons project is unprepared to handle non-free content. --",George Ho,95549.0,meta.wikimedia,Requests for comment/Fair Use on Commons,https://meta.wikimedia.org/wiki?curid=9965599.0,,,,,,,,,,,
"**This is a problem indeed, but the community is too active for mass desysopship, GS and S can't handle all their request without having proper knowledge of the language, we traditionally never try to interfere with editorial dispute, and if editorial dispute did ever happened and its unrelated to the current armenian problem we have how could we solve it without the proper knowledge of the language?--",Aldnonymous,97483.0,meta.wikimedia,Requests for comment/Do something about azwiki,https://meta.wikimedia.org/wiki?curid=10742295.0,,,,,,,,,,,
