speaker,speech,disrespect,respect,explanation,causal_reasoning,narrative,question,response,advocacy,public_interest,counterarguments,constructive_proposal
,**I'm not a fan of the super long [[:w:en:tl;dr|tl;dr]] complaints that usually start off Meta RFCs - but I think you will need to provide more context for anyone to be able to give an opinion about this. --,0,0.0,1,0,0,0,0,0,0,1,1
,"noviewer|SupportÂ Support----Alza08 (talk) 10:45, 25 July 2012 (UTC) Do it. It's a really good idea, and I would look forward to contributing to it.noviewer|SupportÂ Support â€” ÐœÐ°Ñ€Ðº Ð‘Ð°ÑˆÐ»Ð¾Ð²ÐºÐ° 14:25, 25 July (UTC) Of course, it`s wonderfull idea. It`ll be so useful for an avrage traveller, who  want personaly choose his route and be independent from travell agencies and guides. So, do it. I`ll do what I can to help. For example: I can make translations into Russian and Hebrew.noviewer|SupportÂ Support â€“",0,0.0,1,0,0,0,0,0,0,0,1
,noviewer|SupportÂ Support All Wikimedia projects users should be informed of this unjustified blockade. --,0,0.0,1,0,0,0,0,1,0,0,0
,# Support --,0,0.0,0,0,0,0,0,0,0,0,0
,Internet libertarians of course understand far more about encyclopedias than the press.,0,0.0,1,0,0,0,0,0,0,0,0
,"* Bolo1910 seems to perceive this a ""war"": he [//ru.wikiversity.org/w/index.php?title=Ð‘ÐµÑÐ¿Ð»Ð°Ñ‚Ð½Ñ‹Ð¹_Ñ…Ð¾ÑÑ‚Ð¸Ð½Ð³&diff=37837&oldid=37809 removed the backlink link] commenting ""my answer to Wikipedia link removal"". The page in question is called ""Free Hosting"", see [http://translate.google.com/translate?js=y&prev=_t&hl=en&ie=UTF-8&layout=1&eotf=1&u=http://ru.wikiversity.org/w/index.php%3Ftitle%3DÐ‘ÐµÑÐ¿Ð»Ð°Ñ‚Ð½Ñ‹Ð¹_Ñ…Ð¾ÑÑ‚Ð¸Ð½Ð³%26oldid%3D37837&sl=auto&tl=en translation], and it's just his personal diary about hosters that he tried. Even with that, per above-mentioned RFC, the link Wikiversity can be re-added if there is consensus, but so far nobody supported him on the talk page. -",0,0.0,1,0,0,0,0,0,0,0,1
,*:What are you talking about? --,0,0.0,0,0,0,1,0,0,0,0,0
,"Â Weak support Wikipedia should ban users which are not able in contributing on a normal base with just one account; otherwise this is a test case for blocking users globally if a block in a particular project has ended or didn't gather enough acceptance for a regular blocking procedure (""Benutzersperrverfahren"") â€“",0,0.0,1,1,0,0,0,1,0,0,0
,"** ""If Canopus Kilya wants to edit Wikimedia projects in constructive way, he may just create a new account, and nobody will touch it until it starts trolling or vandalizm"". I am afraid VasilievVV is trying to mislead people here regarding the practices in ru.wikipedia.org. Their checkusers would never let a person safely open a new account and let him/her write articles. Rather, they would hunt a poor guy and make his/her life miserable. Interestingly, they even craft falsifications against users designated as their political enemies. For example, recently :ru:user:Wulfson (a checkuser) claimed that :ru:user:Winterheart committed a computer crime by using a Trojan program for vandalism, but failed to present any evidence. Wulfson was not punished for false accusations in any way. Finally, I simply do not understand Vasiliev's logic: how is creating a new account different from simply using an old account? It would be much easier to follow the edits from the old account.",0,0.0,1,0,0,0,1,1,0,1,1
,"noviewer|SupportÂ Support Explained by the next section, Niveles is a rotten wood that can't be engraved. --",0,0.0,1,0,0,0,0,0,0,0,0
,"noviewer|SupportÂ Support for either ""C"" or ""COM"" or both",0,0.0,0,0,0,0,0,0,0,0,0
,noviewer Strong oppose Its better to make a clear line between the content and the foundation.,0,0.0,0,0,0,0,0,0,0,0,1
,"@1233:, @Aca:, @Count Count:, it's been two weeks. There is a clear consensus. You can sum up.",0,0.0,0,0,0,0,0,0,0,0,1
,"What I do on de.wikipedia is my thing. de.wikipedia is not a global sysop wiki, so whatever I do there is irrelevant to my global sysop right. And I refuse to stop until people stop with their personal attacks like [//de.wikipedia.org/w/index.php?title=Benutzerin_Diskussion%3ALiliana-60&diff=105779313&oldid=105779210  this one]. --",0,0.0,1,0,0,0,0,1,0,0,0
