id,text,user,project,page_title,page_url,disrespect,respect,explanation,causal_reasoning,narrative,question,response,advocacy,public_interest,counterarguments,constructive_proposal
80056.0,**I'm not a fan of the super long [[:w:en:tl;dr|tl;dr]] complaints that usually start off Meta RFCs - but I think you will need to provide more context for anyone to be able to give an opinion about this. --,Rschen7754,meta.wikimedia,Requests for comment/Do something about svwiki,https://meta.wikimedia.org/wiki?curid=11048058,,,,,,,,,,,
87779.0,"noviewer|Support Support----Alza08 (talk) 10:45, 25 July 2012 (UTC) Do it. It's a really good idea, and I would look forward to contributing to it.noviewer|Support Support — Марк Башловка 14:25, 25 July (UTC) Of course, it`s wonderfull idea. It`ll be so useful for an avrage traveller, who  want personaly choose his route and be independent from travell agencies and guides. So, do it. I`ll do what I can to help. For example: I can make translations into Russian and Hebrew.noviewer|Support Support –",Liam987,meta.wikimedia,Requests for comment/Travel Guide,https://meta.wikimedia.org/wiki?curid=1187813,,,,,,,,,,,
92584.0,noviewer|Support Support All Wikimedia projects users should be informed of this unjustified blockade. --,Sintakso,meta.wikimedia,Requests for comment/Global centralnotice for the blockade of the Turkish government,https://meta.wikimedia.org/wiki?curid=10333031,,,,,,,,,,,
87537.0,# Support --,Enst38,meta.wikimedia,Requests for comment/Travel Guide,https://meta.wikimedia.org/wiki?curid=1187813,,,,,,,,,,,
84756.0,Internet libertarians of course understand far more about encyclopedias than the press.,Peter Damian,meta.wikimedia,Requests for comment/Remove Founder flag,https://meta.wikimedia.org/wiki?curid=260922,,,,,,,,,,,
85213.0,"* Bolo1910 seems to perceive this a ""war"": he [//ru.wikiversity.org/w/index.php?title=Бесплатный_хостинг&diff=37837&oldid=37809 removed the backlink link] commenting ""my answer to Wikipedia link removal"". The page in question is called ""Free Hosting"", see [http://translate.google.com/translate?js=y&prev=_t&hl=en&ie=UTF-8&layout=1&eotf=1&u=http://ru.wikiversity.org/w/index.php%3Ftitle%3DБесплатный_хостинг%26oldid%3D37837&sl=auto&tl=en translation], and it's just his personal diary about hosters that he tried. Even with that, per above-mentioned RFC, the link Wikiversity can be re-added if there is consensus, but so far nobody supported him on the talk page. -",Alex Smotrov,meta.wikimedia,Requests for comment/Russian Wikiversity Deletions,https://meta.wikimedia.org/wiki?curid=297314,,,,,,,,,,,
96258.0,*:What are you talking about? --,НиколаБ,meta.wikimedia,Requests for comment/Global ban for Kubura,https://meta.wikimedia.org/wiki?curid=11150596,,,,,,,,,,,
91750.0," Weak support Wikipedia should ban users which are not able in contributing on a normal base with just one account; otherwise this is a test case for blocking users globally if a block in a particular project has ended or didn't gather enough acceptance for a regular blocking procedure (""Benutzersperrverfahren"") –",Filterkaffee,meta.wikimedia,Requests for comment/Global ban request for Messina,https://meta.wikimedia.org/wiki?curid=9930549,,,,,,,,,,,
68134.0,"** ""If Canopus Kilya wants to edit Wikimedia projects in constructive way, he may just create a new account, and nobody will touch it until it starts trolling or vandalizm"". I am afraid VasilievVV is trying to mislead people here regarding the practices in ru.wikipedia.org. Their checkusers would never let a person safely open a new account and let him/her write articles. Rather, they would hunt a poor guy and make his/her life miserable. Interestingly, they even craft falsifications against users designated as their political enemies. For example, recently :ru:user:Wulfson (a checkuser) claimed that :ru:user:Winterheart committed a computer crime by using a Trojan program for vandalism, but failed to present any evidence. Wulfson was not punished for false accusations in any way. Finally, I simply do not understand Vasiliev's logic: how is creating a new account different from simply using an old account? It would be much easier to follow the edits from the old account.",SA ru,meta.wikimedia,Requests for comment/Canopus Kilya Blocking,https://meta.wikimedia.org/wiki?curid=152243,,,,,,,,,,,
98028.0,"noviewer|Support Support Explained by the next section, Niveles is a rotten wood that can't be engraved. --",Liuxinyu970226,meta.wikimedia,Requests for comment/Global ban for Niveles and socks,https://meta.wikimedia.org/wiki?curid=11707393,,,,,,,,,,,
86265.0,"noviewer|Support Support for either ""C"" or ""COM"" or both",Beyond My Ken,meta.wikimedia,Requests for comment/Wikimedia Commons interwiki prefix,https://meta.wikimedia.org/wiki?curid=645080,,,,,,,,,,,
95219.0,noviewer Strong oppose Its better to make a clear line between the content and the foundation.,Bahnmoeller,meta.wikimedia,Requests for comment/Should the Foundation call itself Wikipedia,https://meta.wikimedia.org/wiki?curid=10960652,,,,,,,,,,,
96382.0,"@1233:, @Aca:, @Count Count:, it's been two weeks. There is a clear consensus. You can sum up.",Vova WIFI,meta.wikimedia,Requests for comment/Global ban for Kubura,https://meta.wikimedia.org/wiki?curid=11150596,,,,,,,,,,,
73089.0,"What I do on de.wikipedia is my thing. de.wikipedia is not a global sysop wiki, so whatever I do there is irrelevant to my global sysop right. And I refuse to stop until people stop with their personal attacks like [//de.wikipedia.org/w/index.php?title=Benutzerin_Diskussion%3ALiliana-60&diff=105779313&oldid=105779210  this one]. --",Liliana-60,meta.wikimedia,Requests for comment/Wiki mobbing on de.wikipedia,https://meta.wikimedia.org/wiki?curid=1224505,,,,,,,,,,,
87358.0,"# Support. Why not? Isn't a travel guide in book form a similar form to books, we are using for creating our articles for example in the german topic biology. So I cannot imagine not taking those travel guides in book form and bringing it to a similar form like wikipedia articles. Of course we can also add information not mentioned in those books, and that's what this platform will be. But on the other hand we do not want to advertise specific hotels and other accomodations. So it should be a short description about the place. Currency, language, maybe some sentences and words, dangers, sights, maps, climate, history, just the most important information needed for traveling there. But  there should be no prices at all. --",Marco74,meta.wikimedia,Requests for comment/Travel Guide,https://meta.wikimedia.org/wiki?curid=1187813,,,,,,,,,,,
73520.0,"*::::::Regardless, any steward can of their own initiative notify the local community of this and thus spark a recall, just as any other user can. --",Rschen7754,meta.wikimedia,Requests for comment/Activity levels of advanced administrative rights holders,https://meta.wikimedia.org/wiki?curid=2240667,,,,,,,,,,,
86414.0,"** namespaceDupesWT.php and cleanupTitles.php are maintenance scripts used to recover broken page titles left behind by the switchover to the interwiki prefix, as the original titles were still considered entries in the wiki database, but inaccessible to anyone besides developers. See [[Meta:Babel#Broken/outreach:Cherokee]] as an example of this (and the only one left on this wiki). Because of the possible conflict in the pagetitle when the Outreach Wiki was introduced, it was moved to the ""Broken"" namespaces. Besides breaking lots of links, this is another possible outcome of the configuration change from the developers.",TeleComNasSprVen,meta.wikimedia,Requests for comment/Wikimedia Commons interwiki prefix,https://meta.wikimedia.org/wiki?curid=645080,,,,,,,,,,,
84062.0,"Well, there are users who seem to think that Wikipedia is something like Facebook or stuff like that: The biggest part of their user contribution are talks and this kind of activities. According to user contributions you can see that a load of the users on hr wikipedia do belong to this cathegory of users.  One of the rare guys who is a real WORKER, soembody who creates, and does so many things that are necessary for to improve the quality and the growth of hr wiki is Kubura. If you compare what those people who are attacking Kubura were producing during the last months and what Kubura is doing since years the difference is extremely significant. The decision, was wrong. Very wrong and a bad signal. Have a nice day --",Croq,meta.wikimedia,Requests for comment/Croatian Wikipedia-misuse of admin tools by User:Kubura,https://meta.wikimedia.org/wiki?curid=256765,,,,,,,,,,,
84547.0,"#While it is legitimate to question the decisions Jimbo makes in his role as god-king, this is not the time for a revolution to overthrow him. He performs a valuable and necessary service to the Wikimedia project by acting as the ultimate authority, and I have confidence in his ability to use that authority wisely.",Robofish,meta.wikimedia,Requests for comment/Remove Founder flag,https://meta.wikimedia.org/wiki?curid=260922,,,,,,,,,,,
89546.0, :Template:Conditional support. If the complete removal of opt-in does not pass. --,Синкретик,meta.wikimedia,Requests for comment/X!'s Edit Counter,https://meta.wikimedia.org/wiki?curid=2290690,,,,,,,,,,,
91008.0,"I think this is an insult to the community of wikis, and I feel like this is going against the ""community-in-charge"" atmosphere here. --",AmaryllisGardener,meta.wikimedia,Requests for comment/Superprotect rights,https://meta.wikimedia.org/wiki?curid=5363998,,,,,,,,,,,
86875.0,"#:::And it was much, much worse than that.  They went so far as to fabricate evidence to maintain the ban, and claimed I was using sock puppets.  When asked for actual evidence they could not produce any.  These are the same Wikinews admins who are running the site.  Calling these admins corrupt is an understatement, but it's possible they are just ignorant and paranoid.  In any case, these are not the kind of people who should be in any position of authority.",Viriditas,meta.wikimedia,Requests for comment/Global bans,https://meta.wikimedia.org/wiki?curid=1092583,,,,,,,,,,,
81242.0,"# This isn't at all what is being proposed. The idea isn't about selling access to our data. It's about recognising that large organisations that re-use our data are scraping it at the moment anyway, and that can get more from it if we provide it in a suitable form, we'll have lower overheads, and they're willing to pay for a better service. --",Slashme,meta.wikimedia,Requests for comment/Wikimedia Enterprise/de,https://meta.wikimedia.org/wiki?curid=11480280,,,,,,,,,,,
74409.0,noviewer|Oppose Oppose Explained on hr.wiki.,Kubura,meta.wikimedia,Requests for comment/2013 issues on Croatian Wikipedia/Evidence/Conduct,https://meta.wikimedia.org/wiki?curid=2345343,,,,,,,,,,,
84380.0,#Per above.,Maurreen,meta.wikimedia,Requests for comment/Remove Founder flag,https://meta.wikimedia.org/wiki?curid=260922,,,,,,,,,,,
91767.0,"noviewer|Oppose Oppose This does not resolve anything. The most of all: The local block even does not comply the requirements the DE:WP arbitration committee set for blocking the user in case he is violating the terms for his conditional unblocking. Also, there hasn't been a Benutzersperrverfahren, i.e. local user block referendum. Furthermore, there is nothing a global ban could help with the situation. And I am pretty sure that we won't block all University of Heidelberg IPs to prevent the user von editing WP. I also believe that Gonzo.Lubitsch did not understand what a global ban does mean. It is only a Mickey Mouse instrument based on psychology with no practical meaning. I  also am also displeased with Gonzo.Lubitsch's disruption of local consensus finding processes. The DE:WP community does not need any incapacitation by this Meta RfC. --",Matthiasb,meta.wikimedia,Requests for comment/Global ban request for Messina,https://meta.wikimedia.org/wiki?curid=9930549,,,,,,,,,,,
69051.0,"# The fact that we're here, with this petition, and so many items undeleted, tells us that Jimbo Wales' power is limited.  To remove it entirely means concentrating that power somewhere else, such as in the Wikimedia Board, and how much do we really know about their intentions?  But the founder bit is not Wales' power; that is more in who he knows and who he can persuade—another man might have worked entirely behind the scenes and we would never even know why things happened.  Let's not be stampeded into anything.",Wnt,meta.wikimedia,Requests for comment/Remove Founder flag,https://meta.wikimedia.org/wiki?curid=260922,,,,,,,,,,,
